chapter,verse,abenaki,english,french
1,16,"Ni pamosat snoji sobagwa tali Galilee ni wnamih8n Simoa ta Ondla wijia, a 8pchi kamgwakajik hlaba sobagok wz8mi noji namaskashanik.","Now as he walked by the sea of Galilee, he saw Simon and Andrew his brother casting a net into the sea; for they were fishermen.","Passant au bord du lac de Galilée, il vit Simon et son frère André en train de jeter leurs filets : c'étaient des pêcheurs."
1,17,"Ni Sazos wdihl8n, nosokawikw kgisnelbaji knoji ptah8n8 pm8wzowinnoak.","And Jesus said unto them, Come ye after me, and I will make you fishers of men.",Jésus leur dit : Venez derrière moi. Je ferai de vous des pêcheurs d'hommes.
1,18,Nitta wnegal8n8 wdahlapmow8 ni owijaw8n8.,"And straightway they forsook their nets, and followed him.","Aussitôt, laissant là leurs filets, ils le suivirent."
1,19,"Ni kizi nopaiwessi pai8t ni wji, ni wnamih8n Jamesa Zebedee wnam8na ta Az8 wijiaa, nigik achi aishanik ktolagok 8pchi, mish8shanik wdahlapsmow8.","And when he had gone a little further thence, he saw James the son of Zebedee, and John his brother, who also were in the ship mending their nets.","Un peu plus loin, Jésus vit Jacques, fils de Zébédée, et son frère Jean, qui étaient aussi dans leur barque et préparaient leurs filets."
1,20,"Nitta owikwim8n, ni wnegal8n8 wmit8kwsow8 ta nodalokaliji tali ktolagok ni wnosokaw8n8.","And straightway he called them; and they left their father Zebedee in the ship with the hired servants, and went after him.","Jésus les appela aussitôt. Alors, laissant dans la barque leur père avec ses ouvriers, ils partirent derrière lui."
1,21,"Ni wdellosan8ssa Kapernaum, ni agma wdelli s8wassan aiamihawigamigok sandaiwi ni wdagakigamin.","And they went into Capernaum; and straightway on the sabbath day he entered into the synagogue, and taught.","Jésus, accompagné de ses disciples, arrive à Capharnaüm. Aussitôt, le jour du sabbat, il se rendit à la synagogue, et là, il enseignait."
1,22,"Ni wd8shagilawak8gon8ssa wdagakigamw8gan; t8nba wdellagakim8sshani tah8lawi awani t8na waj8nek tbaldamw8gan, 8daki tah8lawi noji awikhigajik.","And they were astonished at his doctrine: for he taught them as one that had authority, and not as the scribes.","On était frappé par son enseignement, car il enseignait en homme qui a autorité, et non pas comme les scribes."
1,23,Ni wdainaza ni wdaiamihawigamikww8k awani maji niwaskwa abit8got; ni wg8g8lwan.,And there was in their synagogue a man with an unclean spirit; and he cried out.,"Or, il y avait dans leur synagogue un homme tourmenté par un esprit mauvais, qui se mit à crier :"
1,24,"Idak, chigitawina; kagwi kdellawakaholbenna, Kia Sazos wjia Nazareth? Kbai8 waji waginaiiak? Kowawalmel awani Kia, Kchiniwaakwi wawasinnao.","Saying, Let us alone; what have we to do with thee, thou Jesus of Nazareth? art thou come to destroy us? I know thee who thou art, the Holy One of God.","Que nous veux-tu, Jésus de Nazareth ? Es-tu venu pour nous perdre ? Je sais fort bien qui tu es : le Saint, le Saint de Dieu."
1,25,"Ni Sazos wgelhamaw8n, wdihl8n chigabi, wji sahosa na abitaw8an.","And Jesus rebuked him, saying, Hold thy peace, and come out of him.",Jésus l'interpella vivement : Silence ! Sors de cet homme.
1,26,"Ni na maji niwaskw kizi talagiph8t ta mamhlawi k8g8lwat, ni oji sahosan.","And when the unclean spirit had torn him, and cried with a loud voice, he came out of him.",L'esprit mauvais le secoua avec violence et sortit de lui en poussant un grand cri.
1,27,"Ni mziwi wd8shagaldamn8, agwachi nadodm8wadoak idamok, kagwesu ? Kagwessi kagakigamw8gan u ? Achi paji wdebbaldami tadabagim8 maji niwaskwa ta wgikt8go.","And they were all amazed, insomuch that they questioned among themselves, saying, What thing is this? what new doctrine is this? for with authority commandeth he even the unclean spirits, and they do obey him.","Saisis de frayeur, tous s'interrogeaient : Qu'est-ce que cela veut dire ? Voilà un enseignement nouveau, proclamé avec autorité ! Il commande même aux esprits mauvais, et ils lui obéissent."
1,28,Nitta pmi sissa 8dok8l8n wiwniwi pab8miwi Galilee.,And immediately his fame spread abroad throughout all the region round about Galilee.,"Dès lors, sa renommée se répandit dans toute la région de la Galilée."
1,29,"Ni annegitta waji sahosahadit aiamihawigamigok, ni wbidigan8 Simo ta Ondla owigw8mek kasiwi Jamesa ta Az8a.","And forthwith, when they were come out of the synagogue, they entered into the house of Simon and Andrew, with James and John.","En quittant la synagogue, Jésus, accompagné de Jacques et de Jean, alla chez Simon et André."
1,30,Na 8zoka Simo wzegwessa lessinossa kzabzow8gan linassa; nitta whbiwhiz8iwi wdell8dokaw8n8.,"But Simon's wife's mother lay sick of a fever, and anon they tell him of her.","Or, la belle-mère de Simon était au lit avec de la fièvre. Sans plus attendre, on parle à Jésus de la malade."
1,31,"Ni wbai8n ta wpettinek wdodn8n, ni owan8gn8n; nitta ni kzabzow8gan wnegalegon, ni wnodnegon8.","And he came and took her by the hand, and lifted her up; and immediately the fever left her, and she ministered unto them.","Jésus s'approcha d'elle, la prit par la main, et il la fit lever. La fièvre la quitta, et elle les servait."
1,32,"Ni wal8gwiwik, kizi kizos nakihl8t, wbadaw8n8 mziwi akwamalsiliji ta madah8ndoa abit8gojik.","And at even, when the sun did set, they brought unto him all that were diseased, and them that were possessed with devils.","Le soir venu, après le coucher du soleil, on lui amenait tous les malades, et ceux qui étaient possédés par des esprits mauvais."
1,33,Ni mziwi wdodanai wdali maassanaza khloganek.,And all the city was gathered together at the door.,La ville entière se pressait à la porte.
1,34,Ni wmessali kigah8n mziwi kagwi alinaliji; ta msali sawhaka madah8ndoa ; ta 8da wjigitaw8wia madah8ndoa wdidamellin ali wawalmegot.,"And he healed many that were sick of divers diseases, and cast out many devils; and suffered not the devils to speak, because they knew him.","Il guérit toutes sortes de malades, il chassa beaucoup d'esprits mauvais et il les empêchait de parler, parce qu'ils savaient, eux, qui il était."
1,35,"Ni sp8zwiwi pitta askwa pesgidbakak ni wd8mikin, ni wzahosan, ni wdellosan adali k8jigik, ni wdalaiamih8n.","And in the morning, rising up a great while before day, he went out, and departed into a solitary place, and there prayed.","Le lendemain, bien avant l'aube, Jésus se leva. Il sortit et alla dans un endroit désert, et là il priait."
1,36,Ni Simo ta witkam8gana wnosokaw8n8.,And Simon and they that were with him followed after him.,Simon et ses compagnons se mirent à sa recherche.
1,37,"Ni maskaw8h8dit, wdihl8n8 mziwi awani kgwilawahogon.","And when they had found him, they said unto him, All men seek for thee.","Quand ils l'ont trouvé, ils lui disent : Tout le monde te cherche."
1,38,Ni wdihl8n losada u akwaltagil odanaal waji achi tali kinohomassia: t8nba ni waji pai8a.,"And he said unto them, Let us go into the next towns, that I may preach there also: for therefore came I forth.","Mais Jésus leur répond : Partons ailleurs, dans les villages voisins, afin que là aussi je proclame la Bonne Nouvelle ; car c'est pour cela que je suis sorti."
1,39,Ni wdali kinohomasinaza wdaiamihawigamikww8k mziwi nalwiwi tali Galilee ta sawhakassa madah8ndoa.,"And he preached in their synagogues throughout all Galilee, and cast out devils.","Il parcourut donc toute la Galilée, proclamant la Bonne Nouvelle dans leurs synagogues, et chassant les esprits mauvais."
1,40,Ni wn8jzow8mgonaza awanihi mizwainaliji owinwamgo ta wdazitgwakasimot8go ta wdihlgo laldamanakiba kgizi pakihi.,"And there came a leper to him, beseeching him, and kneeling down to him, and sayng unto him, If thou wilt, thou canst make me clean.","Un lépreux vient trouver Jésus ; il tombe à ses genoux et le supplie : Si tu le veux, tu peux me purifier."
1,41,"Ni Sazos wgetm8gidah8m8n wgwagwiljawin, wn8zn8n ta wdihl8 ndelli wlaldamen, pakigi.","And Jesus, moved with compassion, put forth his hand, and touched him, and saith unto him, I will; be thou clean.","Pris de pitié devant cet homme, Jésus étendit la main, le toucha et lui dit : Je le veux, sois purifié."
1,42,"Ni annegitta ali matanasketdonkat nitta adoji mizwainaw8gan wji m8jwik whagak, ni kizi pakih8naza.","And as soon as he had spoken, immediately the leprosy departed from him, and he was cleansed.","A l'instant même, sa lèpre le quitta et il fut purifié."
1,43,Ni wmelki Klahamaw8n ta nitta wm8jagim8n.,"And he straitly charged him, and forthwith sent him away;",Aussitôt Jésus le renvoya avec cet avertissement sévère :
1,44,"Ta wdihl8 tbaskozi, akwi awani kagwi hl8kan; m8jihidaki namithla khaga pagitnigawawwinno, ta li pagitniga wji kbakihogwzow8gan t8ni Moses alagigamiza wji witnesw8gan lagwiwi agm8w8k.","And saith unto him, See thou say nothing to any man; but go thy way, shew thyself to the priest, and offer for thy cleansing those things which Moses commanded, for a testimony unto them.","Attention, ne dis rien à personne, mais va te montrer au prêtre. Et donne pour ta purification ce que Moïse prescrit dans la Loi : ta guérison sera pour les gens un témoignage."
1,45,"Ni kanwa m8jit na wbmi sissa wawihadon, agwachi Sazos 8da kizi mchennai pidigawi odonak; kwajekdaki pmi ao, pakajiwi, ni mziwi pab8miwi wji n8dos8m8n.","But he went out, and began to publish it much, and to blaze abroad the matter, insomuch that Jesus could no more openly enter into the city, but was without in desert places: and they came to him from every quarter.","Une fois parti, cet homme se mit à proclamer et à répandre la nouvelle, de sorte qu'il n'était plus possible à Jésus d'entrer ouvertement dans une ville. Il était obligé d'éviter les lieux habités, mais de partout on venait à lui."
2,1,Ni wbidigan Kapernaum kizi wakasogwnakkiwik; ni lit8gwadossa wigw8mek ao:,"And again he entered into Capernaum, after some days; and it was noised that he was in the house.","Jésus était de retour à Capharnaüm, et la nouvelle se répandit qu'il était à la maison."
2,2,"Nitta kasit ni adali maassat, agwachi 8dat8m8 kizi pon8wiak, 8da amochka khl8ganek; ni wgikinohomaw8n ni ketwogan.","And straightway many were gathered together, insomuch that there was no room to receive them, no not so much as about the door: and he preached the word unto them.","Tant de monde s'y rassembla qu'il n'y avait plus de place, même devant la porte. Il leur annonçait la Parole."
2,3,"Ni wdali pai8n8 ait, padosalak pazgoa awanihi nabowik whaga iawwak wbemmosal8w8.","And they come unto him, bringing one sick of the palsy, which was borne of four.","Arrivent des gens qui lui amènent un paralysé, porté par quatre hommes."
2,4,"Ni kizi 8h8lawi pasotkaw8h8dit ali wz8malmek, ni wdawnemn8 apkw8gan ni aiza; ni kizi tawnemmohodit, ni wbennemn8 ni abon alessik na nabowik whaga.","And when they could not come nigh unto him for the press, they uncovered the roof where he was: and when they had broken it up, they let down the bed wherein the sick of the palsy lay.","Comme ils ne peuvent l'approcher à cause de la foule, ils découvrent le toit au-dessus de lui, font une ouverture, et descendent le brancard sur lequel était couché le paralysé."
2,5,"Sazos nawa namitaw8t ol8mawaldamw8ganow8, wdihl8 nihi akwamalsiliji, nnam8n, kzaagawak8zw8ganal kdanhaldam8ganal.","When Jesus saw their faith, he said unto the sick of the palsy, Son, thy sins be forgiven thee.","Voyant leur foi, Jésus dit au paralysé : Mon fils, tes péchés sont pardonnés."
2,6,"Ni nahwhji noji awikhigajik aishannik ni wdell8dokazwidah8zin8,","But there were certain of the scribes sitting there, and reasoning in their hearts,","Or, il y avait dans l'assistance quelques scribes qui raisonnaient en eux-mêmes :"
2,7,"Kagwes wa waji ni li nipskettonkat, awaniba kizi anhaldamasit saagawak8zw8gan wibi witta Kchiniwaskw?",Why doth this man thus speak blasphemies? Who can forgive sins but God only?,"Pourquoi cet homme parle-t-il ainsi ? Il blasphème. Qui donc peut pardonner les péchés, sinon Dieu seul ?"
2,8,"Nitta Sazos waji namih8t wniwask8w8ganek ali ni lidah8zihidit, wdihl8 kagwi waji ni lidah8ziakw ?","And immediately when Jesus perceived in his spirit that they so reasoned within themselves, he said unto them, Why reason ye these things in your hearts?","Saisissant aussitôt dans son esprit les raisonnements qu'ils faisaient, Jésus leur dit : Pourquoi tenir de tels raisonnements ?"
2,9,"T8ni paami ngemak hl8n wa nabwihl8k whaga. kzaagawak8zw8ganal kdanhaldam8ganal, ala hl8n, wan8gi wdenna kdabon ni kbemmosan.","Whether is it easier to say to the sick of the palsy, Thy sins be forgiven thee; or to say, Arise, and take up thy bed, and walk?","Qu'est-ce qui est le plus facile ? de dire au paralysé : 'Tes péchés sont pardonnés', ou bien de dire : 'Lève-toi, prends ton brancard et marche' ?"
2,10,"Kanwa waji wawaldamakw ali aln8ba wnam8na kizi anhaldamasit saagawak8zw8gan udali kik, (wdihl8 nihi akwamalsiliji, nabowik whaga.)","But that ye may know that the Son of man hath power on earth to forgive sins, (he saith to the sick of the palsy,)","Eh bien ! Pour que vous sachiez que le Fils de l'homme a le pouvoir de pardonner les péchés sur la terre,"
2,11,"Kdihhlel wan8gi wdenna kdabon, ni km8jin kowikw8mek.","I say unto thee, Arise, and take up thy bed, and go thy way into thine house.","je te l'ordonne, dit-il au paralysé : Lève-toi, prends ton brancard et rentre chez toi."
2,12,"Nitta kahala owan8gin, odnemmen ni abon, ni oji m8jin mziwi aoldihidit ; agwachi mziwi 8shagaldamok ta wmedawih8w8 Kchiniwaskwa, idamok asma ni ndelladaw8biwnana,","And immediately he arose, took up the bed and went forth before them all; insomuch that they were all amazed, and glorified God, saying, We never saw it on this fashion.","L'homme se leva, prit aussitôt son brancard, et sortit devant tout le monde. Tous étaient stupéfaits et rendaient gloire à Dieu, en disant : Nous n'avons jamais rien vu de pareil."
2,13,"Ni mina wdellosan snoji sobagwa, ta mziwi kinalkik wn8dos8m8w8 ni wdagakim8n.","And he went forth again by the sea side, and all the multitude resorted unto him, and he taught them.","Jésus sortit de nouveau sur le rivage du lac ; toute la foule venait à lui, et il les instruisait."
2,14,Ni pamosat wnamih8n Levia Alpheus wnam8na 8abit attali mzenn8zik 8bank8wadw8gan ; ni wdihl8n nosokawi ni owan8gin ta ni wnosakaw8n.,"And as he passed by, he saw Levi the son of Alphaeus sitting at the receipt of custom, and said unto, Follow me. And he arose and followed him.","En passant, il aperçut Lévi, fils d'Alphée, assis à son bureau de publicain (collecteur d'impôts). Il lui dit : Suis-moi. L'homme se leva et le suivit."
2,15,"Ni pajitbihla Sazos mitsit tali na owigw8mek, msaloshanik nod8bankaw8mgik ta saagawak8zwinnoak kasokadom8jik Sazosa ta oskinnoma; wzomi msaloshani nosok8goshani.","And it came to pass, that, as Jesus sat at meat in his house, many publicans and sinners sat also together with Jesus and his disciples: for there were many and they followed him.","Comme il était à table dans sa maison, beaucoup de publicains et de pécheurs vinrent prendre place avec Jésus et ses disciples, car il y avait beaucoup de monde."
2,16,"Ni nigik noji awikhigajik ta Pharisees namih8dit wgasokadom8 nod8bankaw8mgi ta saagawak8zwinnoa, wdihl8w8 oskinnoma, Nit8ni, owijokadom8 ta owijesmom8 nod8bankaw8mgi ta saagawak8zwinnoa?","And when the scribes and Pharisees saw him eat with publicans and sinners, they said unto his disciples, How is it that he eateth and drinketh with publicans and sinners?","Même les scribes du parti des pharisiens le suivaient aussi, et, voyant qu'il mangeait avec les pécheurs et les publicains, ils disaient à ses disciples : Il mange avec les publicains et les pécheurs !"
2,17,"Sazos ni nodak, wdihl8, t8nugik 8da akwamalsikwkwik 8da chowalmawiak noji nbizonhowaliji: t8nigikdak akwamalsijik: 8da noji pai8 waji wikwimok pakinnoak; saagawak8zwinnoakdaki waji 8nalzihidit.","When Jesus heard it, he saith unto them, They that are whole have no need of the physician, but they that are sick: I came not to call the righteous, but sinners to repentance.","Jésus, qui avait entendu, leur déclara : Ce ne sont pas les gens bien portants qui ont besoin du médecin, mais les malades. Je suis venu appeler non pas les justes, mais les pécheurs."
2,18,"Ni Az8 oskinnoma ta Pharisees mahmahnosakk8zos- hanik wbai8n8 ta wdihl8w8, kagwi waji Az8 oskinnoma ta Pharisees manosakk8zihidit, ni kia koskinnomak 8da manosakk8ziwiak?","And the disciples of John and of the Pharisees used to fast: and they come and say unto him, Why do the disciples of John and of the Pharisees fast, but thy disciples fast not?","Comme les disciples de Jean Baptiste et les pharisiens jeûnaient, on vient demander à Jésus : Pourquoi tes disciples ne jeûnent-ils pas, comme les disciples de Jean et ceux des pharisiens ?"
2,19,"Ni Sazos wdihl8n, kizi manosakk8zwakba aw8ssizak wajiawwijik adali wihidimek? T8ni kwani wijihlam8t na wihigamit? T8ni kwani wijihlam8h8dit wihigamiliji 8dahaba kizi manosakk8ziwiak.","And Jesus said unto them, can the children of the bride chamber fast, while the bridegroom is with them? as long as they have the bridegroom with them, they cannot fast.","Jésus répond : Les invités de la noce pourraient-ils donc jeûner, pendant que l'Époux est avec eux ? Tant qu'ils ont l'Époux avec eux, ils ne peuvent pas jeûner."
2,20,"Kanwaji kiskol pai8mowal adojiji kadnemmaw8mek nihi wibigamiliji, niji tojiwi manosakk8zwak.","But the days will come, when the bridegroom shall be taken away from them, and then shall they fast in those days.",Mais un temps viendra où l'Époux leur sera enlevé : ce jour-là ils jeûneront.
2,21,Onda achi awani sijigwamowi wskimaksasis ng8ni lasawaw8ganek; kagnahani wski maksasis asijigw8zik wji paganigao ng8niak ni alinahl8k paami msi segweskinahla.,"No man also seweth a piece of new cloth on an old garment: else the new piece that filled it up taketh away from the old, and the rent is made worse.",Personne ne raccommode un vieux vêtement avec une pièce d'étoffe neuve ; autrement la pièce neuve tire sur le vieux tissu et le déchire davantage.
2,22,"Onda achi awani tawtowi wski makwbagak ng8ni pot8iaikok: kagnahaba wski makwbagak pot8iak oji segweskihl8n8 tahaba makwbagak sogahla, ta pot8iak waginak, wski pot8iaikokdaki chowi pon8zo wski makwbagak.","And no man putteth new wine into old bottles: else the new wine doth burst the bottles, and the wine is spilled, and the bottles will be marred: but new wine must be put into new bottles.","Ou encore, personne ne met du vin nouveau dans de vieilles outres ; autrement la fermentation fait éclater les outres, et l'on perd à la fois le vin et les outres. A vin nouveau, outres neuves."
2,23,Ni pajitbihla wdodosan malomnakik8nek sandaiwi: ni oskinnoma illosalidep wm8ja kajipton8 malomnal illosahadidip.,"And it came to pass, that he went through the corn fields on the sabbath day; and his disciples began, as they went, to pluck the ears of corn.","Un jour de sabbat, Jésus marchait à travers les champs de blé ; et ses disciples, chemin faisant, se mirent à arracher des épis."
2,24,"Ni Pharisees wdihl8n8, L8bi, kagwi waji lalokahadit koskinnomak sandaiwi t8nu 8da walaldam8wadimmokw?","And the Pharisees said unto him, Behold, why do they on the sabbath day that which is not lawful.",Les pharisiens lui disaient : Regarde ce qu'ils font le jour du sabbat ! Cela n'est pas permis.
2,25,"Niagma wdihl8n, asma kdagidamown8 David alalakaza t8naga ajalitbihl8da ta kadopida, agma ta wijihlamgoshani?","And he said unto them, Have ye never read what David did, when he had need, and was anhungred, he and they that were with him","Jésus leur répond : N'avez-vous jamais lu ce que fit David, lorsqu'il fut dans le besoin et qu'il eut faim, lui et ses compagnons ?"
2,26,"Ali pidigaza Kchiniwaskw owigw8mek Abithar tojiwi kakchi patlih8zwida ta ali moh8za aiamihawi pkwazigana 8da awani achowi moh8kwkweshani wibiwitta patlih8zak, ta achi ali mil8za wijihlam8ji?","How he went into the house of God in the days of Abiathar the high priest, and did eat the shewbread, which is not lawful to eat but for the priest, and gave also to them which were with him?","Au temps du grand prêtre Abiathar, il entra dans la maison de Dieu et mangea les pains de l'offrande que seuls les prêtres peuvent manger, et il en donna aussi à ses compagnons."
2,27,"Ni wdihl8n, sanda wji kizit8zo wji aln8ba, 8daki aln8ba wji sanda:","And he said unto them, The sabbath was made for man, and not man for the sabbath:","Il leur disait encore : Le sabbat a été fait pour l'homme, et non pas l'homme pour le sabbat."
2,28,Ninawa waji aln8ba wnam8na tbaldak achi paji sanda.,Therefore the Son of man is Lord also of the sabbath.,"Voilà pourquoi le Fils de l'homme est maître, même du sabbat."
3,1,Ni mina wbidigan aiamihawigamigok ni wdainaza ni awani wlechji nabowik.,And he entered again into the synagogue; and there was a man there which had a,"Une autre fois, Jésus entra dans une synagogue ; il y avait là un homme dont la main était paralysée."
3,2,Ni wdaskoh8l8n8 t8ni wdelli kadawii kigah8n sandaiwi; wajiba kizi agwim8h8dit.,"And they watched him, whether he would heal him on the sabbath day; that they might accuse him.",On observait Jésus pour voir s'il le guérirait le jour du sabbat ; on pourrait ainsi l'accuser.
3,3,"Ni wdihl8n nihi wlechji nabowik, Mamilig8bi.","And he saith unto the man which had the withered hand, Stand forth.",Il dit à l'homme qui avait la main paralysée : Viens te mettre là devant tout le monde. Et s'adressant aux autres :
3,4,"Ni wdihl8n li wlaldam8wadin sandaiwi lalokan waligek, ala lalokan majigek? Polwakt8zo pm8wzow8gan ala nhlikan? Ni 8zoka 8da kagwi wdidamown8.","And he saith unto them, Is it lawful to do good on the sabbath days, or to do evil? to save life, or to kill? But they held their peace.","Est-il permis, le jour du sabbat, de faire le bien, ou de faire le mal ? de sauver une vie, ou de tuer ? Mais ils se taisaient."
3,5,"Ni kizi wiwni kinaw8t nskaziwi, ozigilawahogo ali s8glak wlaw8ganow8l, wdihl8 nihi aln8ba, sibaliljawi. Ni kahala wzibaliljawin; nitta wlechji kigaossa tah8lawi ni kdak.","And when he had looked round about on them with anger, being grieved for the hardness of their hearts, he saith unto the man, Stretch forth thine hand. And he stretched it out: and his hand was restored whole as the other.","Alors, promenant sur eux un regard de colère, navré de l'endurcissement de leurs coeurs, il dit à l'homme : Étends la main. Il l'étendit, et sa main redevint normale."
3,6,Ni Pharisees wm8jin8 ta nitta wbodawazin8 kasiwi Herodwijik agma wji waji kizi wagih8dit.,"And the Pharisees went forth, and straightway took counsel with the Herodians","Une fois sortis, les pharisiens se réunirent avec les partisans d'Hérode contre Jésus, pour voir comment le faire périr."
3,7,"Ni kanwa Sazos ta oskinnoma wdelli wazwan8 sobagok: ni pita wmessalnossa wjiaak Galilee nosokaw8jik ta wjiaak Judea,","But Jesus withdrew himself with his disciples to the sea: and a great multitude from Galilee followed him, and from Judaea,","Jésus se retira avec ses disciples au bord du lac ; et beaucoup de gens, venus de la Galilée, le suivirent ;"
3,8,"Ta wji Jerusalem, ta wji Idumaea, ta wji awasiwi Jordan, ta nigik wjiaak pab8miwi Tyre ta Sidon, k8ginalkik nodamohodit kasi msegwikwalokat wdali pai8n8 aiza.","And from Jerusalem, and from Idumaea, and from beyond Jordan; and they about Tyre and Sidon, a great multitude, when they had heard what great things he did, came unto him.","et aussi beaucoup de gens de Judée, de Jérusalem, d'Idumée, de Transjordanie, et de la région de Tyr et de Sidon avaient appris tout ce qu'il faisait, et ils vinrent à lui."
3,9,Ni wdihl8n oskinnoma wajiba ktolagosis skawihogot wji ali msalmek kagnahaba agwankaw8.,"And he spake to his disciples, that a small ship should wait on him because of the multitude, lest they should throng him.",Il dit à ses disciples de tenir une barque à sa disposition pour qu'il ne soit pas écrasé par la foule.
3,10,"Wz8mi msalo kigah8zhani agwachi nemm8 l8mhozwak wajiba n8zn8h8dit, kasit t8nwa kagwi alinat.","For he had healed many; insomuch that they pressed upon him for to touch him, as many as had plagues.","Car il avait fait beaucoup de guérisons, si bien que tous ceux qui souffraient de quelque mal se précipitaient sur lui pour le toucher."
